track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
687,326,2,2023,7,14,553,147,141381703,43,263,45,10,826.0,125,,Major,80,89,83,31,0,8,4
397,401,1,2023,3,23,1474,48,133716286,48,126,58,14,382.0,92,,Major,71,61,74,7,0,10,4
936,431,1,2023,6,30,1397,113,140003974,94,207,91,14,949.0,138,,Major,51,32,53,17,0,31,6
170,558,1,2019,8,23,7858,100,800840817,116,207,125,12,548.0,170,,Major,55,58,72,11,0,11,15
864,43,1,2023,5,18,3133,50,303236322,84,133,87,15,425.0,144,,Minor,65,23,80,14,63,11,6
733,123,2,2023,6,1,2186,91,183706234,67,213,88,17,946.0,141,,Major,92,66,58,19,0,8,24
235,177,2,2023,3,16,3090,50,725980112,34,222,43,13,418.0,148,,Minor,67,83,76,48,0,8,3
156,469,1,2023,7,7,714,43,58149378,25,89,30,13,194.0,100,,Major,67,26,71,37,0,11,4
919,214,1,2023,5,15,1096,83,95217315,60,210,48,11,953.0,130,,Minor,85,22,62,12,0,28,9
405,452,2,2023,3,17,2953,44,553634067,49,110,66,13,339.0,170,,Minor,81,56,48,21,0,8,33
935,45,2,2023,4,17,2876,40,505671438,41,205,54,12,251.0,83,,Minor,57,56,72,23,0,27,5
758,418,1,2023,7,7,422,55,58255150,37,202,21,5,168.0,150,,Minor,78,52,82,18,0,15,7
277,395,1,2023,1,12,12211,115,1316855716,300,215,745,58,1021.0,118,,Major,71,65,68,6,0,3,7
192,127,1,2023,4,14,3528,98,387570742,80,156,182,24,1281.0,130,,Minor,51,32,43,83,0,9,3
60,223,1,2022,3,31,23575,130,2513188493,403,198,863,46,2.0,174,,Minor,52,66,73,34,0,31,6
388,498,1,2022,12,8,8109,77,1163093654,183,162,161,12,187.0,89,,Major,64,43,73,5,17,16,4
172,187,1,2023,2,24,2942,77,496795686,91,212,78,6,0.0,120,,Minor,78,76,59,43,0,34,3
876,60,1,2023,7,13,873,104,30546883,80,227,95,24,1173.0,78,,Major,44,14,9,96,0,10,3
152,186,2,2023,3,31,2610,40,335222234,43,100,54,14,187.0,100,,Major,86,67,66,14,0,12,16
434,255,1,2023,3,24,596,68,363369738,8,104,23,2,29.0,120,,Major,63,36,73,0,0,36,4
395,204,3,2023,6,22,332,26,86444842,11,163,10,4,0.0,140,,Minor,65,87,74,22,0,42,4
342,558,1,2023,7,7,516,38,52135248,73,119,42,1,150.0,123,,Major,69,82,76,6,0,6,3
351,25,1,2013,1,1,12859,110,1297026226,24,98,582,2,73.0,135,,Minor,48,44,42,12,2,11,3
594,64,2,2023,5,31,1313,40,200647221,17,152,32,11,139.0,133,,Minor,85,81,67,26,0,12,5
607,579,3,2023,6,2,1945,87,115364561,74,182,87,14,1093.0,99,,Major,85,83,68,7,0,36,20
654,193,1,2023,6,22,250,26,78300654,16,149,10,5,168.0,130,,Minor,79,96,86,9,0,9,9
131,495,2,2022,3,25,7112,77,899183384,202,119,318,38,96.0,107,,Major,80,82,80,43,0,14,4
464,555,2,2023,6,29,859,40,61245289,35,109,41,14,211.0,122,,Minor,81,74,71,14,0,56,4
417,396,1,2023,1,31,2420,19,429829812,52,107,15,1,325.0,204,,Major,52,52,68,46,0,15,4
185,151,1,2023,5,25,2988,101,127408954,0,0,143,38,0.0,110,,Minor,67,78,85,2,0,33,5
651,601,1,2023,7,13,864,78,22581161,71,135,50,1,294.0,126,,Minor,74,35,84,0,0,11,6
776,450,2,2023,6,28,266,34,52294266,20,185,13,8,197.0,168,,Major,56,63,87,39,0,11,5
168,573,3,2022,12,2,6036,88,843957510,113,149,245,23,27.0,98,,Minor,71,17,61,36,0,8,5
53,558,1,2022,10,21,9082,56,999748277,242,142,165,9,310.0,97,,Major,64,51,63,12,0,19,5
773,290,2,2023,2,23,4284,49,618990393,115,123,184,18,354.0,180,,Minor,72,61,63,67,0,9,28
442,58,8,2023,6,1,1150,31,123122413,22,33,34,7,184.0,120,,Major,81,63,68,11,0,11,4
286,625,2,2023,4,7,672,34,188933502,19,108,24,9,212.0,150,,Major,61,39,73,37,0,11,3
97,558,1,2014,1,1,11434,53,1355959075,154,123,410,2,81.0,96,,Major,75,57,68,9,0,13,6
750,558,1,2014,1,1,7830,42,786181836,94,111,151,4,82.0,95,,Major,60,48,79,0,0,12,4
774,193,1,2023,5,19,584,28,176553476,16,159,15,6,100.0,125,,Minor,79,96,85,27,0,11,6
230,269,2,2023,2,10,692,25,354495408,10,107,6,3,62.0,144,,Minor,56,84,65,23,0,10,6
753,465,2,2018,10,9,24094,78,2808096550,372,117,843,4,69.0,90,,Major,76,91,50,54,0,7,5
354,53,2,2022,8,26,12482,80,1109433169,291,184,537,45,727.0,128,,Minor,56,38,97,4,0,35,4
679,608,3,2017,7,21,13387,64,1047101291,77,58,247,1,311.0,79,,Major,56,58,56,37,0,11,10
81,421,3,2023,6,23,1117,80,65156199,82,145,65,16,1133.0,144,,Major,77,75,58,52,0,23,25
49,395,1,2020,11,27,3372,19,570515054,65,48,138,1,102.0,122,,Major,67,49,64,10,0,10,3
341,434,1,2022,5,13,8431,76,1085685420,241,127,458,37,332.0,140,,Major,71,82,81,11,0,6,5
200,572,1,2016,11,24,2483,59,1647990401,68,21,24,0,259.0,134,,Minor,59,51,52,9,0,15,7
736,574,2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140.0,186,,Major,68,49,59,16,0,13,28
201,27,2,2023,2,24,3408,47,518745108,87,86,74,1,16.0,67,,Minor,53,50,53,23,0,44,7
231,183,3,2023,6,2,1298,38,107753850,44,64,57,10,110.0,106,,Minor,72,17,64,7,0,10,5
71,124,3,2023,4,6,4277,66,177740666,145,111,213,11,810.0,128,,Major,60,23,91,0,0,12,3
17,285,1,2023,2,24,1133,39,153372011,14,71,23,10,176.0,107,,Minor,92,55,70,18,0,15,7
1,447,1,2023,6,15,2259,59,57876440,0,0,109,17,0.0,130,,Minor,67,96,88,12,19,8,4
51,592,1,2012,10,15,18371,83,1813673666,250,122,"3,394",19,2.0,123,,Minor,45,13,54,70,0,9,4
100,572,1,2019,11,29,43899,69,3703895074,672,199,"3,421",20,2.0,171,,Major,50,38,80,0,0,9,7
512,277,1,2023,2,24,2649,42,256483385,67,79,57,1,615.0,137,,Minor,64,88,72,51,0,17,5
403,368,1,2022,5,26,6804,45,1214083358,139,111,161,15,210.0,125,,Minor,84,85,68,58,0,22,4
653,285,1,2023,7,14,525,41,16011326,34,115,39,6,216.0,128,,Minor,86,42,72,59,0,9,19
911,558,1,2020,7,24,7923,29,812019557,106,112,142,4,215.0,130,,Minor,61,53,58,55,0,27,4
833,638,2,2023,5,4,731,15,111947664,27,17,73,4,167.0,130,,Major,86,59,96,50,1,9,5
111,456,2,2023,2,3,5184,41,156338624,154,84,102,14,37.0,133,,Major,70,86,81,25,0,25,5
423,94,3,2022,6,24,3107,39,720434240,38,0,4,0,0.0,101,,Major,88,72,59,62,0,9,3
68,480,2,2023,3,24,4053,50,357925728,82,121,182,12,171.0,95,,Minor,77,53,64,74,0,17,14
324,438,2,2022,10,6,4637,38,674072710,63,79,89,11,16.0,98,,Minor,90,40,59,0,0,10,29
